Fecha,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Periodo
2013-03-31,7761349.0,57147608.0,64908957,Ene-Mar 2013
2013-06-30,7769110.0,58004822.0,65773932,Abr-Jun 2013
2013-09-30,8002183.0,59048909.0,67051092,Jul-Sept 2013
2013-12-31,8674516.0,58894516.0,67569032,Oct-Dic 2013
2014-03-31,8224482.0,54725089.0,62949571,Ene-Mar 2013
2014-06-30,7953775.0,53009865.0,60963640,Abr-Jun 2014
2014-09-30,8214424.0,53102043.0,61316467,Jul-Sept 2014
2014-12-31,8027505.0,53093330.0,61120835,Oct-Dic 2014
2015-03-31,7747230.0,52474633.0,60221863,Ene-Mar 2015
2015-06-30,7633527.0,52241939.0,59875466,Abr-Jun 2015
2015-09-30,7600799.0,53131712.0,60732511,Jul-Sept 2015
2015-12-31,7594526.0,54247485.0,61842011,Oct-Dic 2015
2016-03-31,7483126.0,54003635.0,61486761,Ene-Mar 2016
2016-06-30,7565115.0,54557406.0,62122521,Abr-Jun 2016
2016-09-30,7520789.0,56058550.0,63579339,Jul-Sept 2016
2016-12-31,7637635.0,56082170.0,63719805,Oct-Dic 2016
2017-03-31,7502772.0,55523350.0,63026122,Ene-Mar 2017
2017-06-30,7415230.0,55483528.0,62898758,Abr-Jun 2017
2017-09-30,7272585.0,54958224.0,62230809,Jul-Sept 2017
2017-12-31,7108228.0,54789151.0,61897379,Oct-Dic 2017
2018-03-31,7101698.0,53470098.0,60571796,Ene-Mar 2018
2018-06-30,6637444.0,52828949.0,59466393,Abr-Jun 2018
2018-09-30,6551391.0,52289745.0,58841136,Jul-Sept 2018
2018-12-31,6488017.0,52110024.0,58598041,Oct-Dic 2018
2019-03-31,6645995.0,51960447.0,58606442,Ene-Mar 2019
2019-06-30,5924037.0,51672054.0,57596091,Abr-Jun 2019
2019-09-30,5974898.0,50300828.0,56275726,Jul-Sept 2019
2019-12-31,5797378.270854803,50133535.7291452,55930914,Oct-Dic 2019
2020-03-31,5743132.047436371,49869047.95256363,55612810,Ene-Mar 2020
2020-06-30,5659667.0,49391056.0,55050723,Abr-Jun 2020
2020-09-30,5559723.535561988,49060162.46443802,54619886,Jul-Sept 2020
2020-12-31,5556298.674264678,49207602.32573532,54763900,Oct-Dic 2020
2021-03-31,6041047.0,50411986.0,56453033,Ene-Mar 2021
2021-06-30,6046091.0,50829471.0,56875562,Abr-Jun 2021
2021-09-30,6104479.0,51708030.0,57812509,Jul-Sept 2021
2021-12-31,6186993.763102654,52878833.23689735,59065827,Oct-Dic 2021
2022-03-31,6231309.0,52937601.0,59168910,Ene-Mar 2022
2022-06-30,6245815.0,52865377.0,59111192,Abr-Jun 2022
2022-09-30,6250732.0,53008139.0,59258871,Jul-Sept 2022
2022-12-31,6546406.0,53157521.0,59703927,Oct-Dic 2022
2023-03-31,7028083.0,53269840.0,60297923,Ene-Mar 2023
2023-06-30,7310125.0,53572899.0,60883024,Abr-Jun 2023
2023-09-30,7903181.0,53281127.0,61184308,Jul-Sept 2023
2023-12-31,8301200.0,54407950.0,62709150,Oct-Dic 2023
2024-03-31,8398514.0,54455565.0,62854079,Ene-Mar 2024
2024-06-30,8397205.0,54421319.0,62818524,Abr-Jun 2024
