Fecha,Ingresos (miles de $)
2013-03-31,13135235
2013-06-30,13970806
2013-09-30,15235659
2013-12-31,16218846
2014-03-31,15938353
2014-06-30,17680972
2014-09-30,18976053
2014-12-31,20012332
2015-03-31,19337342
2015-06-30,19945453
2015-09-30,21785238
2015-12-31,24881967
2016-03-31,24763052
2016-06-30,25353971
2016-09-30,27416177
2016-12-31,30143233
2017-03-31,31205565
2017-06-30,33509264
2017-09-30,35711689
2017-12-31,38110028
2018-03-31,38733946
2018-06-30,40653502
2018-09-30,43280089
2018-12-31,44026803
2019-03-31,50246691
2019-06-30,55338816
2019-09-30,60905891
2019-12-31,65388842
2020-03-31,72077147
2020-06-30,73538944
2020-09-30,79634755
2020-12-31,83479114
2021-03-31,93112153
2021-06-30,104782020
2021-09-30,117751925
2021-12-31,127389786
2022-03-31,130454676
2022-06-30,153032313
2022-09-30,180356862
2022-12-31,216233244
2023-03-31,257558366
2023-06-30,307337085
2023-09-30,380119973
2023-12-31,515335742
2024-03-31,769485386
2024-06-30,1108472514
