Fecha,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
2024-06-30,14.29142544622128,45.44215100610047
2024-03-31,14.719928253929574,46.848116423271605
2023-12-31,15.440543759512996,49.69615252407399
2023-09-30,15.69404650243176,50.55258973172874
2023-06-30,15.809957163458826,50.9658040822636
2023-03-31,15.504409666477969,50.01988952451518
2022-12-31,15.455165081219455,49.74321196996818
2022-09-30,15.456187443429428,49.78641439117163
2022-06-30,15.56615177918469,50.17986030514599
2022-03-31,15.96967947355278,51.52092986398019
2021-12-31,16.740337772506503,53.8796037370409
2021-09-30,15.409215867987433,49.635112763385294
2021-06-30,15.61904516564108,50.35037018974039
2021-03-31,15.91939509287322,51.358703812133896
2020-12-31,16.164521982984873,52.02631218542657
2020-09-30,16.353677216693445,52.67734709544315
2020-06-30,16.460551110181058,53.06309272656109
2020-03-31,16.70463309857045,53.892016536729145
2019-12-31,17.204343684491068,55.54707068151316
2019-09-30,17.534741673174416,56.65706959209466
2019-06-30,18.10618285122644,58.54698466555487
2019-03-31,18.591830793219295,60.16198959226623
2018-12-31,21.94719557632467,71.07184144017731
2018-09-30,21.752986866048577,70.49396663242669
2018-06-30,21.772532044298423,70.78415284482486
2018-03-31,21.79954246970968,70.74443187666087
2017-12-31,23.437363771110544,76.31719677136864
2017-09-30,23.199889415381616,75.53176117547694
2017-06-30,23.832909994285476,77.65393413096376
2017-03-31,23.572639323928986,76.85505274084012
2016-12-31,23.437363771110544,76.31719677136864
2016-09-30,23.199889415381616,75.53176117547694
2016-06-30,23.832909994285476,77.65393413096376
2016-03-31,23.572639323928986,76.85505274084012
2015-12-31,23.026580797201632,75.1679048850558
2015-09-30,23.2608125009865,76.02612899245995
2015-06-30,23.18495115275933,75.87037021849584
2015-03-31,23.468438166848472,76.89152943933459
2014-12-31,22.606756900964985,74.15788656399963
2014-09-30,22.48919433972001,73.86076941853328
2014-06-30,22.399378662566956,73.65284397804899
2014-03-31,22.491969582333603,74.04489465351008
