Fecha,Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles)
2013-03-31,8785943.0,6582117.0,15368060.0
2013-06-30,9512689.0,7108640.0,16621329.0
2013-09-30,10315484.0,7335154.0,17650638.0
2013-12-31,9809515.0,6250549.0,16060064.0
2014-03-31,10128751.0,5799223.0,15927974.0
2014-06-30,10821463.0,6438071.0,17259534.0
2014-09-30,11524344.0,7179152.0,18703495.0
2014-12-31,11997330.0,7147630.0,19144961.0
2015-03-31,10273637.0,6480172.0,16753809.0
2015-06-30,11226576.0,6579819.0,17806395.0
2015-09-30,11766711.0,7198826.0,18965537.0
2015-12-31,11905073.0,7301039.0,19206111.0
2016-03-31,11230991.0,6656647.0,17887638.0
2016-06-30,11493027.0,6778732.0,18271759.0
2016-09-30,11923391.0,7077838.0,19001229.0
2016-12-31,15960765.0,6938892.0,22899656.0
2017-03-31,14630269.0,6209983.0,20840252.0
2017-06-30,15315167.0,6293563.0,21608730.0
2017-09-30,15106275.0,6308373.0,21414647.0
2017-12-31,14164552.0,5380710.0,19545262.0
2018-03-31,13423580.0,5850985.0,19274565.0
2018-06-30,14240217.0,6027374.0,20267591.0
2018-09-30,14574305.0,6108477.0,20682782.0
2018-12-31,14915060.0,6613685.0,21528745.0
2019-03-31,13733817.225,6182148.648,20364355.0
2019-06-30,13986048.225,6174602.648,20160650.873000003
2019-09-30,13444769.0,6819314.0,20264083.0
2019-12-31,11828877.0,6567190.0,18396067.0
2020-03-31,13764635.0,6211879.0,19976514.0
2020-06-30,14584355.920000002,5949099.925,20533455.845000003
2020-09-30,14536704.920000002,5696018.925,20232723.845000003
2020-12-31,14421376.920000002,5768782.925,20190159.845000003
2021-03-31,12992365.92,5469580.925,18461946.845
2021-06-30,13869977.920000002,5354042.925,19224020.845000003
2021-09-30,13152392.920000002,5440363.925,18592756.845000003
2021-12-31,12944093.920000002,5456087.925,18400181.845000003
2022-03-31,12362900.326,3586127.049,15949027.375000002
2022-06-30,12436523.97,3776194.545,16212718.515
2022-09-30,12556822.303,3870171.662,16426993.965
2022-12-31,11890576.782,3721055.668,15611632.45
2023-03-31,10980979.222,3469825.6910000006,14450804.913000004
2023-06-30,10577764.69,3493297.85,14071062.54
2023-09-30,10354886.817,3639908.067,13994794.884
2023-12-31,10147853.817,3673245.067,13821098.884
2024-03-31,9619808.692,3771708.481,13391517.173
2024-06-30,8837499.692,3595205.481,12432705.173
